source,layer,d_model,mean_struct_delta,mean_seq_delta,n_edges,perplexity,ppl_kind
ckpt_mlm_s42_token,11,320,0.013673460111021996,-0.0014407907146960497,857542,17.420636155629154,pseudo_masked
ckpt_mlm_s42_token,14,320,0.012771686539053917,-0.0012699512299150229,857542,17.420636155629154,pseudo_masked
ckpt_mlm_s42_token,18,320,0.01235596276819706,-0.0010925910901278257,857542,17.420636155629154,pseudo_masked
