feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.49468148,0.10048348,0.13162121,0.09249488,0.36306027,0.0079885945
1,0.49163362,0.08274709,0.13856134,0.08485255,0.3530723,-0.0021054596
2,0.46300045,0.09983779,0.104990676,0.07752207,0.35800976,0.022315718
3,0.49150723,0.06585787,0.09843542,0.070143774,0.39307183,-0.004285902
4,0.28283086,0.053402495,0.07374458,0.050673157,0.20908628,0.0027293377
5,0.63462484,0.14157228,0.15056804,0.124078415,0.4840568,0.017493866
6,0.5956614,0.15320209,0.1698806,0.12859055,0.4257808,0.024611533
7,0.43120268,0.050221838,0.096126534,0.062354933,0.33507615,-0.012133095
8,0.4070702,0.06479664,0.08096019,0.056182124,0.32611,0.008614518
9,0.49309328,0.13279387,0.15589608,0.116422035,0.33719718,0.016371839
10,0.5313251,0.12737308,0.17812778,0.13344857,0.35319734,-0.0060754865
11,0.38532877,0.015184023,0.03153594,0.020936752,0.35379285,-0.0057527283
12,0.42387432,0.054014053,0.062882006,0.0499718,0.3609923,0.004042253
13,0.39147422,0.07683428,0.1281498,0.08778056,0.26332444,-0.010946281
14,0.40594926,0.046239294,0.0842162,0.05492391,0.32173306,-0.008684617
15,0.4523051,0.034901787,0.07664107,0.05110067,0.37566406,-0.016198885
16,0.52264804,0.11137781,0.13438411,0.09775972,0.38826394,0.013618089
17,0.531052,0.11803065,0.13994619,0.113308966,0.3911058,0.0047216862
18,0.48455936,0.09599755,0.092661396,0.07165744,0.39189798,0.024340108
19,0.4965989,0.062686354,0.090058245,0.060730077,0.40654066,0.0019562766
20,0.37527755,0.07257707,0.08605756,0.06301424,0.28921998,0.009562828
21,0.45990014,0.040803324,0.10274315,0.07565127,0.357157,-0.03484795
22,0.45542347,0.066082455,0.103125975,0.07306476,0.35229748,-0.006982304
23,0.49164551,0.06051708,0.10547279,0.07369098,0.3861727,-0.013173901
24,0.49752772,0.102827415,0.14304225,0.09753777,0.35448545,0.005289644
25,0.34145376,0.038351957,0.046717886,0.04282319,0.29473588,-0.004471235
26,0.47613296,0.06446383,0.10031164,0.072839595,0.37582132,-0.008375764
27,0.39920208,0.03892993,0.07733015,0.053845685,0.32187194,-0.014915753
28,0.389253,0.06812872,0.1023501,0.07120091,0.2869029,-0.0030721873
29,0.39697057,0.07022339,0.099517204,0.06770609,0.29745337,0.0025172979
30,0.5112492,0.1476295,0.1462783,0.1005893,0.36497086,0.0470402
31,0.51921535,0.08263182,0.103468135,0.0806946,0.41574723,0.001937218
32,0.48486084,0.08648834,0.105539486,0.07934812,0.37932134,0.007140219
33,0.42381498,0.093087,0.12186968,0.09038203,0.3019453,0.0027049705
34,0.45538867,0.09876573,0.14607604,0.10329306,0.30931264,-0.0045273304
35,0.4039742,0.062348254,0.0812531,0.05851992,0.32272112,0.0038283356
36,0.49880078,0.0971131,0.13465548,0.09540567,0.3641453,0.0017074347
37,0.4681179,0.07228579,0.10925537,0.07628083,0.35886252,-0.0039950386
38,0.38581952,0.09516684,0.12736613,0.0957171,0.2584534,-0.00055026263
39,0.65716714,0.06598134,0.13514575,0.09646825,0.5220214,-0.030486904
40,0.3150416,0.05951004,0.076073006,0.0510512,0.2389686,0.008458842
41,0.5355579,0.10485051,0.09936889,0.073829085,0.43618903,0.031021424
42,0.5552284,0.07382318,0.12385328,0.090935245,0.43137515,-0.017112069
43,0.4881513,0.08722132,0.115418136,0.094919875,0.37273318,-0.0076985583
44,0.42904896,0.0954202,0.13485233,0.09312772,0.2941966,0.0022924766
45,0.5419062,0.119341835,0.13539563,0.09665026,0.40651053,0.022691578
46,0.5479822,0.16133726,0.18475303,0.14282307,0.3632292,0.018514186
47,0.31660566,0.048385806,0.06394933,0.045855235,0.25265634,0.002530571
48,0.4958501,0.07033508,0.12408934,0.085990176,0.37176076,-0.015655093
49,0.13252418,0.021690877,0.028668463,0.023799066,0.103855714,-0.0021081883
50,0.36860803,0.07419344,0.11912248,0.08811631,0.24948555,-0.01392287
51,0.3876013,0.096306965,0.14298168,0.10505843,0.24461961,-0.008751467
52,0.4330421,0.07874042,0.10252385,0.078700624,0.33051825,3.979355e-05
53,0.41291785,0.064938426,0.089422174,0.062158845,0.3234957,0.0027795807
54,0.44754016,0.08093607,0.1038115,0.08068135,0.34372866,0.00025472045
55,0.3692831,0.12897323,0.13871956,0.098216094,0.23056355,0.030757137
56,0.57361084,0.06886429,0.14706534,0.100413844,0.4265455,-0.03154955
57,0.52213776,0.07432185,0.11254072,0.08393574,0.40959704,-0.0096138865
58,0.49350363,0.05737988,0.10042602,0.063896164,0.3930776,-0.0065162852
59,0.4195038,0.05434311,0.11171373,0.08051671,0.30779007,-0.026173599
60,0.46370655,0.029003086,0.09676387,0.055413537,0.36694267,-0.026410451
61,0.36278054,0.035089035,0.082635894,0.057925444,0.28014463,-0.02283641
62,0.65886784,0.16748936,0.18556085,0.14284149,0.47330698,0.024647877
63,0.4935779,0.09481858,0.123198435,0.094291754,0.37037945,0.0005268231
64,0.46704215,0.08055554,0.120319806,0.08964631,0.34672233,-0.009090766
65,0.39130387,0.07599794,0.08738285,0.06980982,0.303921,0.0061881244
