feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.5730954,0.108472556,0.1257277,0.091653116,0.44736767,0.01681944
1,0.57217777,0.050865266,0.088395454,0.06451029,0.48378232,-0.013645027
2,0.50311494,0.07840186,0.09656594,0.07075182,0.406549,0.00765004
3,0.52318555,0.12851748,0.13953482,0.10719799,0.38365072,0.021319486
4,0.34389374,0.05176696,0.11182329,0.08321323,0.23207045,-0.03144627
5,0.40698576,0.06529207,0.07841528,0.05236576,0.3285705,0.012926307
6,0.60030085,0.05487356,0.07398822,0.05102319,0.52631265,0.0038503706
7,0.42417657,0.057948597,0.0825862,0.061439008,0.34159037,-0.0034904107
8,0.5155135,0.06081297,0.10406188,0.07811576,0.4114516,-0.017302793
9,0.14801511,0.028858485,0.038421515,0.023933392,0.1095936,0.0049250927
10,0.5564086,0.09363151,0.10906373,0.07758783,0.44734484,0.016043685
11,0.47619227,0.097782455,0.10802636,0.08136088,0.3681659,0.016421579
12,0.8280793,0.03165551,0.07949543,0.054267306,0.74858385,-0.022611797
13,0.47102353,0.10236107,0.122237824,0.08661883,0.3487857,0.015742235
14,0.37270474,0.057192825,0.07761684,0.05944159,0.2950879,-0.002248764
15,0.62388647,0.12726867,0.14031173,0.10004223,0.48357475,0.02722644
16,0.6284984,0.15359572,0.21459411,0.16218181,0.41390425,-0.008586094
17,0.35038045,0.04636706,0.081593014,0.058413245,0.26878744,-0.012046184
18,0.47315127,0.0350727,0.08796359,0.05563491,0.3851877,-0.02056221
19,0.5313776,0.11004704,0.12920243,0.1038302,0.4021752,0.006216839
20,0.56378764,0.0396439,0.101405814,0.07512548,0.46238184,-0.03548158
21,0.50964284,0.098261714,0.106069066,0.081209145,0.40357378,0.017052568
22,0.4686853,0.069327675,0.106639415,0.07187273,0.36204588,-0.0025450587
23,0.5665112,0.06747682,0.09908632,0.05488733,0.4674249,0.012589488
24,0.4622937,0.04082175,0.07033311,0.05063781,0.39196062,-0.009816062
25,0.5175003,0.071156725,0.09961162,0.07009674,0.41788867,0.0010599867
26,0.39583695,0.052724488,0.11217013,0.07507275,0.28366682,-0.022348262
27,0.53228515,0.10587082,0.13956402,0.08875765,0.39272112,0.017113172
28,0.51814026,0.069843,0.055412088,0.03626196,0.46272817,0.03358104
29,0.5575806,0.13517512,0.13841252,0.09825444,0.41916806,0.03692068
30,0.39289367,0.04951797,0.084727526,0.05480255,0.30816615,-0.0052845776
31,0.25471008,0.032697994,0.06396609,0.04314261,0.19074398,-0.010444615
32,0.579776,0.08153019,0.13173361,0.09416542,0.4480424,-0.012635231
33,0.57549363,0.031078923,0.062169924,0.041874718,0.5133237,-0.010795794
34,0.41029546,0.038780976,0.06457521,0.046843234,0.34572023,-0.008062258
35,0.45450696,0.08522186,0.10010067,0.06974044,0.3544063,0.01548142
36,0.61435527,0.16277122,0.17471272,0.13249281,0.43964255,0.030278414
