feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,2.3182638,1.3929554,2.1411133,1.496434,0.17715049,-0.10347855
1,1.8825089,1.2001083,1.8221309,1.2278827,0.060377955,-0.027774453
2,0.55899316,0.5024467,0.5409828,0.376489,0.018010378,0.1259577
3,3.274636,2.217518,3.2452362,2.2264004,0.029399872,-0.008882284
4,0.012514031,-0.059812497,0.019305272,0.012612617,-0.0067912415,-0.07242511
5,0.15766372,0.13144462,0.15438001,0.114705764,0.0032837093,0.016738854
6,1.6647685,1.098686,1.6379045,1.0971835,0.026863933,0.0015025139
7,2.7183387,1.9331198,2.6766543,1.944432,0.04168439,-0.011312246
8,2.5375662,1.7291653,2.3604405,1.8707873,0.17712569,-0.14162195
9,0.73511934,0.48874706,0.7257612,0.47373357,0.009358168,0.015013486
10,1.2201205,0.7871909,1.1854851,0.834902,0.034635425,-0.047711074
11,3.442701,2.4000096,3.3207107,2.2911375,0.12199044,0.108872175
12,0.3668561,0.280485,0.36779222,0.26419777,-0.00093612075,0.016287237
13,2.6002083,1.7723697,2.5292878,1.7840691,0.07092047,-0.011699319
14,0.12576784,0.03351033,0.13314497,0.07867973,-0.007377133,-0.045169402
15,2.9702106,2.3784597,2.8837347,2.185918,0.08647585,0.1925416
16,2.144435,1.2824143,2.0659845,1.2286866,0.07845044,0.053727746
17,0.012857695,0.033880673,0.044523817,0.030049736,-0.031666122,0.0038309377
18,1.6177055,1.0973319,1.6126486,1.1475619,0.005056858,-0.050230026
19,1.8047235,1.3001164,1.8028419,1.2067463,0.0018815994,0.09337008
20,0.19533262,0.12739618,0.20688477,0.15139394,-0.011552155,-0.023997754
21,0.16230646,0.14261605,0.16266257,0.1255357,-0.00035610795,0.017080352
22,0.40546772,0.24253066,0.39015,0.24862066,0.015317708,-0.0060900003
23,0.30694807,0.22123577,0.292131,0.21827464,0.014817059,0.002961129
24,2.0832045,1.5872551,2.048603,1.409851,0.03460145,0.17740417
25,0.26603943,0.179822,0.25159758,0.18503393,0.014441848,-0.0052119344
26,0.34064776,0.2908604,0.33876777,0.24834108,0.0018799901,0.04251933
27,7.3225274,5.4488077,6.4121757,4.8596525,0.91035175,0.5891552
28,2.4911957,1.7502198,2.3249214,1.6545178,0.16627431,0.09570205
29,2.1786375,1.6024671,2.0765336,1.5073937,0.10210395,0.09507334
30,-0.01658115,0.14360242,0.028872192,0.01822004,-0.04545334,0.12538238
31,0.08377243,0.037492227,0.056866717,0.043060474,0.026905712,-0.0055682473
32,2.7470343,1.8250672,2.6250846,1.9093387,0.12194967,-0.08427155
33,-0.024164807,0.11115079,0.009381907,0.004406451,-0.033546716,0.106744334
34,2.7207315,1.9886509,2.5945795,2.0294712,0.12615204,-0.04082024
35,1.5016456,0.994075,1.4900156,1.0122248,0.011629939,-0.018149793
36,3.253782,2.71335,3.1497493,2.494721,0.104032755,0.21862912
37,0.08141552,0.11648311,0.07570774,0.06981474,0.005707778,0.046668366
38,0.11343013,0.09993739,0.1121096,0.0780925,0.001320526,0.021844886
39,1.1291211,0.824457,1.1264489,0.80948955,0.0026721954,0.014967442
40,-0.02121808,0.1594325,0.030752962,0.02327628,-0.05197104,0.13615622
41,1.5734531,1.1342858,1.5389764,1.0844839,0.034476638,0.049801946
42,0.05038481,-0.003209004,0.054278575,0.035255343,-0.0038937666,-0.038464345
43,1.3690832,0.9511865,1.3578036,0.9900549,0.011279583,-0.038868427
44,-0.01712344,0.13512191,0.022643248,0.013631865,-0.039766688,0.12149005
45,4.1436486,2.6021748,3.518201,2.147662,0.6254475,0.45451283
46,0.04499144,0.124680035,0.064413056,0.038135182,-0.019421615,0.08654486
47,0.046293665,0.13832803,0.04502388,0.029599244,0.0012697838,0.10872879
48,2.0316246,1.4584757,1.8465046,1.3128941,0.18511999,0.1455816
49,0.011221756,0.18784083,0.0316511,0.02198938,-0.020429343,0.16585146
50,2.0719948,1.5542165,2.001819,1.4478538,0.070175886,0.1063627
51,2.144304,1.6826466,2.1007447,1.5893703,0.043559313,0.09327638
52,0.11248598,0.058241054,0.10779122,0.07049849,0.00469476,-0.012257434
53,0.16448656,0.1228035,0.16577299,0.1271805,-0.0012864321,-0.004377
54,2.283667,1.6795744,2.2117522,1.5457639,0.07191491,0.13381052
55,1.9970254,1.7822732,1.9165151,1.5178955,0.08051026,0.2643777
56,0.15288073,0.06793279,0.1521608,0.10852059,0.0007199347,-0.040587798
57,0.1928744,0.13301809,0.18262431,0.1259557,0.010250092,0.0070623904
58,1.8572085,1.3949997,1.8198649,1.3591616,0.03734362,0.035838127
59,1.1707625,0.91510373,1.170788,0.8632928,-2.5510788e-05,0.05181092
60,0.2628107,0.21207663,0.25982124,0.1899513,0.002989471,0.022125334
61,2.3109531,1.6002461,2.2578354,1.6339653,0.053117752,-0.033719182
62,0.0585305,0.07592305,0.052051354,0.036386497,0.006479144,0.03953655
63,1.3129499,0.9644065,1.1564307,0.87690055,0.15651917,0.08750594
64,1.6830038,1.1289319,1.620167,1.1679018,0.062836766,-0.038969874
65,2.3555212,1.6049505,2.2439778,1.6186512,0.11154342,-0.013700604
66,0.49102443,0.36880568,0.4952585,0.3651219,-0.0042340755,0.0036837757
67,0.15532376,0.10989541,0.1389421,0.1012947,0.016381666,0.008600712
68,0.078824304,0.07196237,0.07701646,0.0541327,0.0018078461,0.017829672
69,2.2681904,1.4759485,2.245753,1.5954924,0.022437334,-0.11954391
70,0.2731876,0.16139369,0.25621954,0.1604613,0.016968071,0.00093238056
71,2.1433816,1.5167379,2.134891,1.4555466,0.008490562,0.06119132
72,0.21718167,0.14577955,0.19557881,0.1252339,0.021602854,0.020545647
73,1.149507,0.7784246,1.1238779,0.82870215,0.025629163,-0.05027753
74,1.3689082,1.0326174,1.3423815,0.95659715,0.02652669,0.0760203
75,0.012930025,0.15445438,0.022917341,0.017933391,-0.009987316,0.13652098
76,2.1119947,1.492234,2.0218637,1.4214969,0.090131044,0.07073712
77,1.7730851,1.2347745,1.7671585,1.21084,0.005926609,0.023934484
78,1.4702597,1.0192738,1.4401147,1.0308584,0.03014493,-0.01158464
79,0.07862636,0.024356032,0.07962533,0.057120062,-0.0009989738,-0.032764032
80,1.6484462,1.1933454,1.6236328,1.1329178,0.024813414,0.060427666
81,1.4910446,1.0228982,1.4801259,1.0366182,0.010918736,-0.013720036
