feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.5642379,0.14863274,0.16642521,0.115572035,0.39781266,0.0330607
1,0.42412138,0.057851333,0.100542456,0.066008165,0.32357892,-0.008156832
2,0.34404626,0.053131253,0.056161113,0.044983592,0.28788516,0.008147661
3,0.4456714,0.036634255,0.0656111,0.043679886,0.38006032,-0.0070456304
4,0.269293,0.037131313,0.04541857,0.033156823,0.22387443,0.00397449
5,0.40576878,0.081174225,0.112564676,0.08710472,0.2932041,-0.0059304982
6,0.3686915,0.06953718,0.10207846,0.067467645,0.26661304,0.0020695329
7,0.5436811,0.06559342,0.08386669,0.06640795,0.4598144,-0.0008145273
8,0.43156627,0.08646453,0.07919283,0.05835063,0.35237342,0.028113902
9,0.28813574,0.040480897,0.06826073,0.043526534,0.21987501,-0.0030456372
10,0.21188495,0.027502896,0.04189621,0.030398205,0.16998874,-0.0028953087
11,0.43241715,0.05409363,0.05967324,0.043109044,0.3727439,0.010984585
12,0.49491927,0.07315701,0.09111201,0.06860664,0.40380725,0.004550375
13,0.46965423,0.068072155,0.111815766,0.07646593,0.35783845,-0.008393772
14,0.3800852,0.053869884,0.09205583,0.066524684,0.28802937,-0.0126548
15,0.46578643,0.04035683,0.054907683,0.041717697,0.41087875,-0.0013608672
16,0.42929122,0.062228885,0.06936428,0.050647143,0.35992694,0.011581741
17,0.47468978,0.11455945,0.10078925,0.079012595,0.37390053,0.035546854
18,0.52408856,0.11426965,0.11787967,0.09521219,0.4062089,0.01905746
19,0.45686743,0.06608775,0.08667234,0.06257169,0.3701951,0.003516063
20,0.51433516,0.026095198,0.066334434,0.04470299,0.44800073,-0.018607793
21,0.41831496,0.050660353,0.06780106,0.0534028,0.3505139,-0.002742447
22,0.5308396,0.068841204,0.120071985,0.06976416,0.41076764,-0.0009229556
23,0.41772056,0.0051695183,0.027361102,0.019249398,0.39035946,-0.01407988
24,0.44477177,0.105084255,0.086846344,0.0655615,0.35792542,0.039522752
25,0.5078231,0.058818035,0.07880449,0.0612747,0.42901862,-0.002456665
26,0.52552056,0.07525571,0.09234812,0.064889915,0.43317243,0.010365792
27,0.26916602,0.053060383,0.052076183,0.040216994,0.21708983,0.012843389
28,0.62352496,0.101091534,0.1428485,0.10277209,0.48067647,-0.001680553
29,0.40085807,0.06420418,0.067795336,0.048013892,0.33306274,0.016190287
30,0.39323738,0.13346545,0.123561755,0.0913162,0.2696756,0.042149253
31,0.37351948,0.06910215,0.06960286,0.053859867,0.30391663,0.015242286
32,0.43416455,0.053670783,0.06484082,0.05174935,0.36932373,0.001921434
33,0.34362555,0.025578259,0.05473951,0.037131697,0.28888604,-0.011553438
34,0.4991279,0.036982987,0.07431513,0.054771457,0.42481276,-0.01778847
35,0.4593141,0.056590565,0.071787454,0.052583173,0.38752666,0.0040073916
36,0.3761733,0.03607266,0.057128567,0.040022675,0.3190447,-0.0039500147
