feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.90528154,0.31710592,0.45195192,0.30794448,0.45332962,0.0091614425
1,0.52056354,0.12831567,0.2126617,0.13568914,0.30790186,-0.007373467
2,0.85631996,0.30609164,0.3806736,0.29133418,0.47564638,0.014757454
3,1.5697587,0.55776125,0.74789655,0.5288237,0.8218621,0.028937578
4,1.7264603,0.5734325,0.6909161,0.4783713,1.0355442,0.09506121
5,1.6095698,0.5754887,0.7031311,0.52472,0.9064387,0.050768673
6,0.88085973,0.44197553,0.4917415,0.3818345,0.38911822,0.060141027
7,1.5262014,0.47367638,0.5582716,0.41611928,0.9679298,0.057557106
8,0.34423435,0.17785884,0.19522859,0.14963779,0.14900576,0.028221056
9,0.63511926,0.23516896,0.28462473,0.212748,0.35049453,0.022420958
10,1.2569206,0.5550642,0.5515243,0.37620082,0.7053963,0.17886338
11,3.454882,1.0832334,1.0415064,0.75601214,2.4133754,0.3272212
12,1.5598438,0.54509777,0.6651845,0.47841293,0.8946593,0.06668484
13,2.348829,0.8542716,1.0042084,0.7560932,1.3446206,0.09817839
14,0.62475896,0.22692843,0.35391816,0.25892058,0.2708408,-0.031992152
15,0.9785229,0.4869768,0.52808875,0.3904664,0.45043415,0.09651041
16,1.1176909,0.34490198,0.44020826,0.30896387,0.67748266,0.035938114
17,0.72673863,0.17320852,0.17370778,0.11330061,0.55303085,0.059907913
18,1.7729257,0.72433114,0.83363515,0.6073209,0.9392906,0.117010236
19,1.6566234,0.524907,0.62261695,0.46257767,1.0340064,0.062329322
20,2.2292964,0.7151846,0.87396467,0.6415776,1.3553318,0.07360703
21,1.3565795,0.449258,0.57973117,0.42338887,0.7768484,0.025869131
22,1.3022163,0.46723884,0.6368861,0.45768672,0.6653302,0.009552121
23,0.42539716,0.15261874,0.23552811,0.17602003,0.18986905,-0.02340129
24,1.428707,0.5160076,0.6700998,0.4748725,0.7586072,0.041135103
25,0.230971,0.075694494,0.10962002,0.076905504,0.121350974,-0.0012110099
26,0.9739864,0.3021195,0.46147352,0.31262395,0.51251286,-0.010504454
27,0.96792567,0.41405118,0.5010153,0.33174515,0.46691036,0.08230603
28,2.6872382,1.0253779,0.98963106,0.7400907,1.6976072,0.28528714
29,0.40697318,0.18068309,0.19513662,0.1492773,0.21183656,0.03140579
30,0.76429904,0.27061546,0.3832981,0.27722707,0.38100094,-0.0066116154
31,0.5236938,0.2953999,0.30100292,0.22876212,0.22269088,0.066637784
32,0.2314607,0.051062305,0.12450214,0.08438357,0.10695857,-0.033321265
33,1.4898577,0.49387723,0.6869716,0.49834317,0.80288607,-0.0044659376
34,1.2127489,0.41335878,0.58585864,0.356895,0.62689024,0.056463778
35,1.7607822,0.6015294,0.73375463,0.5415691,1.0270276,0.059960306
36,0.8369785,0.2805682,0.34911278,0.24198595,0.48786572,0.038582265
37,0.94729376,0.36294356,0.511129,0.34594643,0.43616474,0.016997129
38,1.9884876,0.49957833,0.6458775,0.4523992,1.3426101,0.047179133
39,2.6023002,0.7207039,0.9348507,0.65267646,1.6674495,0.06802744
40,1.6438259,0.49785313,0.64044684,0.4333737,1.0033791,0.06447944
41,2.8355918,0.7031047,0.8440355,0.61416376,1.9915563,0.08894092
42,1.5017815,0.6094889,0.68423283,0.51496756,0.81754863,0.09452134
43,0.26587754,0.116422795,0.15610567,0.12743853,0.10977188,-0.011015736
44,2.5201936,0.5715385,0.7231928,0.50049984,1.7970008,0.07103866
45,1.5447733,0.76965714,0.87659156,0.62066257,0.6681818,0.14899457
46,0.2805733,0.143804,0.1374949,0.10401976,0.1430784,0.039784238
47,0.5786858,0.19762337,0.2884013,0.2066252,0.2902845,-0.009001821
48,1.3646415,0.5484469,0.6885928,0.47787586,0.67604876,0.070571035
49,1.4552168,0.49343845,0.66503775,0.43777925,0.790179,0.055659205
50,0.87985945,0.38433418,0.43607736,0.31178382,0.4437821,0.07255036
51,0.6754588,0.22153108,0.28843272,0.1847538,0.38702607,0.036777273
52,1.09488,0.34452483,0.52573407,0.34513652,0.5691459,-0.00061169267
53,1.6430585,0.49013,0.609458,0.45865375,1.0336006,0.03147626
54,1.4111577,0.5149284,0.7041995,0.48610538,0.70695823,0.028823018
55,1.4743778,0.63260394,0.6999174,0.48306817,0.7744604,0.14953578
56,2.4000099,0.6765046,0.85093385,0.6102258,1.5490761,0.066278815
57,1.059632,0.32252797,0.39234716,0.27737144,0.6672848,0.04515654
58,1.0728425,0.36090112,0.4328963,0.30764088,0.6399462,0.053260237
59,1.6028683,0.6154107,0.764091,0.53331345,0.8387773,0.08209723
60,0.833013,0.41298223,0.4307732,0.32314527,0.4022398,0.089836955
61,0.5012103,0.14904256,0.26495937,0.20009306,0.2362509,-0.0510505
62,2.166783,0.6523523,0.75453025,0.57943636,1.4122529,0.07291591
63,1.3947009,0.4517318,0.58786553,0.41419083,0.80683535,0.037540972
64,1.0192965,0.13653082,0.17076132,0.12704763,0.8485352,0.009483188
65,1.5330119,0.38731626,0.47694692,0.33327118,1.056065,0.05404508
66,2.0783901,0.75454015,0.85247135,0.6177432,1.2259188,0.13679695
67,1.3002405,0.46737322,0.5034809,0.3458516,0.7967596,0.12152162
68,0.87448627,0.27147526,0.34830374,0.2481548,0.52618253,0.023320451
69,0.94080544,0.44553214,0.4934644,0.3630434,0.44734102,0.082488745
70,0.1892197,0.07344241,0.082790256,0.058379985,0.10642944,0.015062422
71,0.07240301,0.18339656,0.07580097,0.051841654,-0.0033979565,0.1315549
72,0.7890345,0.28356245,0.38311902,0.2791118,0.40591547,0.004450649
73,0.39055157,0.13286492,0.2255619,0.15342867,0.16498967,-0.020563751
74,1.3697971,0.5795249,0.6557405,0.48962134,0.7140566,0.08990353
75,0.49059895,0.21018226,0.26712856,0.19296223,0.22347039,0.017220035
76,1.3358749,0.72814834,0.80386287,0.6248437,0.53201205,0.103304625
77,2.2995117,0.75465834,0.9924059,0.70437247,1.3071058,0.050285876
78,0.8830771,0.30112636,0.390767,0.28971595,0.49231008,0.011410415
79,1.3974137,0.6311387,0.81764793,0.5892791,0.5797658,0.041859567
80,0.44747603,0.20739684,0.14410272,0.10224471,0.3033733,0.10515212
81,0.12828787,0.04886038,0.06708625,0.049755752,0.061201617,-0.0008953735
82,0.27342403,0.040797267,0.1401163,0.09040329,0.13330773,-0.04960602
83,0.8027597,0.29647985,0.4083199,0.28502744,0.39443982,0.011452407
84,1.0121077,0.3166837,0.38949314,0.27972427,0.6226146,0.03695944
85,1.2685972,0.4004426,0.4794201,0.3417046,0.7891772,0.058737993
86,1.1690643,0.5285814,0.6081146,0.45733374,0.5609497,0.07124764
87,1.4126,0.5346172,0.65879023,0.47741145,0.7538098,0.057205737
88,1.2011274,0.4600767,0.508386,0.3575876,0.6927414,0.102489084
89,1.7298875,0.90190566,0.90573055,0.7042681,0.82415694,0.19763756
90,1.0771425,0.40737605,0.5229169,0.37835672,0.55422556,0.029019326
91,0.13099566,0.1982084,0.10536852,0.07153461,0.025627144,0.12667379
92,1.4540153,0.38443318,0.6189467,0.42475182,0.8350686,-0.040318638
93,1.0207568,0.3799494,0.47244972,0.33662882,0.5483071,0.043320566
94,1.4866494,0.8108309,0.92175615,0.693508,0.56489325,0.11732286
95,0.6887184,0.15746558,0.20064044,0.14180475,0.48807794,0.015660822
96,2.1617713,0.7679436,0.90692675,0.6493934,1.2548445,0.11855024
97,1.7439125,0.5452253,0.67280596,0.5089835,1.0711064,0.03624183
98,0.9007004,0.34196654,0.4271412,0.31545642,0.4735592,0.02651012
99,1.3702328,0.6078449,0.6942937,0.5204489,0.67593914,0.087395966
100,0.89025223,0.36423376,0.45941764,0.34855402,0.4308346,0.015679747
101,1.2362458,0.3889757,0.536472,0.38571018,0.6997737,0.0032655299
102,0.4612129,0.1489482,0.2486629,0.18007033,0.21255,-0.031122133
103,1.3453088,0.57781255,0.7115787,0.52981794,0.63373005,0.047994614
104,1.4847165,0.51431966,0.61900884,0.45466965,0.8657077,0.059650004
105,0.20224768,0.02950571,0.11065845,0.06755958,0.09158923,-0.03805387
106,0.5578565,0.22910064,0.31765065,0.22488868,0.24020585,0.004211962
107,3.2139313,0.82949364,0.9830656,0.73588485,2.2308657,0.0936088
108,0.16145124,0.06751824,0.058740746,0.04092197,0.102710485,0.02659627
109,1.2528464,0.46096545,0.6222636,0.3915761,0.63058275,0.06938934
110,0.44469705,0.1774127,0.22791728,0.17125018,0.21677977,0.006162524
111,1.9808135,0.60916394,0.7642482,0.5236335,1.2165654,0.08553046
112,1.6402876,0.78566116,0.9500655,0.70986885,0.69022214,0.07579231
113,2.187757,0.70847607,0.88584137,0.6205248,1.3019156,0.08795124
114,2.236811,0.8871956,1.1727531,0.8354251,1.0640578,0.05177051
115,1.7543565,0.58757585,0.68573415,0.4786946,1.0686224,0.108881265
116,2.7741601,1.0967141,1.3759196,1.0232048,1.3982406,0.073509336
117,0.89289284,0.28075644,0.38472125,0.27405313,0.50817156,0.006703317
118,0.7770189,0.4174765,0.47976422,0.35533932,0.29725468,0.062137187
119,1.0854993,0.4749513,0.5028153,0.36264995,0.582684,0.11230135
120,0.75077385,0.29037535,0.35244003,0.25683668,0.39833382,0.03353867
121,0.27398637,0.19831905,0.15939097,0.11743238,0.1145954,0.08088667
122,0.6938608,0.33483106,0.33754864,0.25596786,0.3563122,0.0788632
123,1.4413247,0.44158757,0.5802062,0.4122108,0.8611185,0.029376775
124,1.0390066,0.43889835,0.5360225,0.3631321,0.5029841,0.075766265
125,0.5559379,0.20473579,0.18312891,0.12957837,0.372809,0.07515742
126,0.86642504,0.43267372,0.48261514,0.3715988,0.3838099,0.061074913
127,2.340644,0.72039604,0.91641855,0.65383476,1.4242253,0.06656128
128,1.8566927,0.73880434,0.821314,0.5849639,1.0353787,0.15384042
129,1.5998514,0.9012393,1.0651575,0.82524747,0.53469384,0.07599181
130,0.27736706,0.19371575,0.1299385,0.09021668,0.14742856,0.10349907
131,0.68704396,0.21672902,0.25188726,0.19270076,0.4351567,0.024028257
132,1.0799705,0.41441023,0.54579675,0.37478724,0.5341737,0.039622992
133,0.49002892,0.19424528,0.24390452,0.17354417,0.2461244,0.02070111
134,1.0189692,0.3435821,0.45763683,0.34063447,0.56133235,0.0029476285
135,1.0816948,0.42913985,0.5351307,0.375264,0.54656416,0.053875864
136,0.9651537,0.60675514,0.6004979,0.46880132,0.3646558,0.13795382
137,0.7700964,0.25434145,0.34967536,0.2409236,0.42042106,0.013417855
138,1.2018657,0.5292343,0.69154996,0.4999427,0.5103157,0.0292916
139,2.050335,0.6441977,0.7602371,0.56497097,1.2900978,0.07922673
140,1.7283462,0.7150488,0.8795373,0.6757647,0.84880894,0.03928411
141,1.3712494,0.42163998,0.56698334,0.40461788,0.8042661,0.017022103
142,1.4894526,0.6036428,0.7014858,0.51330537,0.7879668,0.090337455
143,0.9477104,0.3651194,0.47596604,0.3268649,0.47174436,0.0382545
144,1.8076456,0.70208734,0.81506413,0.6006853,0.9925814,0.101402044
145,1.5100538,0.5312436,0.64898086,0.48053545,0.8610729,0.050708175
146,0.50726825,0.18758063,0.23981729,0.17964967,0.26745096,0.007930964
147,1.3339391,0.52812153,0.657413,0.48045558,0.67652607,0.047665954
148,2.1332817,0.7283302,0.85090387,0.6149209,1.2823778,0.11340928
149,1.0604653,0.45010182,0.54738605,0.40752655,0.5130793,0.04257527
150,1.2382941,0.55609417,0.68740475,0.51532114,0.5508894,0.040773034
151,1.6848695,0.595814,0.74240553,0.5298944,0.942464,0.06591958
152,1.0554162,0.40784824,0.5255444,0.38471928,0.5298718,0.023128957
153,1.0885986,0.34648472,0.49507385,0.35017735,0.59352475,-0.003692627
154,0.5927906,0.19916904,0.2701705,0.19407316,0.3226201,0.005095884
155,0.8553015,0.35231116,0.38781315,0.29349887,0.46748835,0.05881229
156,1.2630426,0.54879147,0.6266809,0.46914396,0.63636166,0.07964751
157,0.64438796,0.22370222,0.32064924,0.24127953,0.32373872,-0.017577305
158,1.3979911,0.48494223,0.57341176,0.41274127,0.8245793,0.072200954
159,0.6570772,0.23633654,0.30766585,0.22033949,0.34941134,0.015997052
