feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.5161895,0.14178807,0.15998843,0.115746714,0.35620108,0.026041351
1,0.48771074,0.09491245,0.111090906,0.07814533,0.37661985,0.016767114
2,0.506722,0.11365018,0.12163722,0.09559859,0.38508475,0.018051587
3,0.42560595,0.030405512,0.0675882,0.04376894,0.35801774,-0.013363427
4,0.3553214,0.059711922,0.06636231,0.04840765,0.2889591,0.0113042705
5,0.48823997,0.100824334,0.13780093,0.10830114,0.35043904,-0.0074768066
6,0.4977109,0.12072832,0.15289715,0.11044234,0.34481376,0.010285981
7,0.48652416,0.07546905,0.10310552,0.08095338,0.38341865,-0.005484335
8,0.38922527,0.05571752,0.07372063,0.050175756,0.31550464,0.005541764
9,0.379617,0.06294763,0.09861491,0.06594129,0.2810021,-0.0029936582
10,0.2542462,0.049999703,0.058238488,0.044612147,0.19600771,0.005387556
11,0.42332816,0.058164865,0.0693038,0.050145626,0.35402435,0.008019239
12,0.5325714,0.099636145,0.10308573,0.07833063,0.42948565,0.021305516
13,0.53626007,0.090893775,0.14015985,0.09557959,0.39610022,-0.0046858117
14,0.36344042,0.042841557,0.07652714,0.055838156,0.28691328,-0.012996599
15,0.47273836,0.09387792,0.09939623,0.07699935,0.37334213,0.016878568
16,0.47996715,0.09751313,0.11213484,0.08201181,0.3678323,0.01550132
17,0.5341397,0.13318233,0.11630456,0.0903508,0.41783512,0.042831533
18,0.523368,0.12903596,0.15041246,0.121211745,0.37295556,0.00782422
19,0.4396997,0.082223706,0.10507366,0.07478609,0.33462605,0.0074376166
20,0.5414925,0.051432285,0.0909023,0.06225936,0.45059022,-0.010827076
21,0.4317129,0.086393766,0.10042726,0.0775944,0.33128563,0.008799367
22,0.6791669,0.16635437,0.18689682,0.120998785,0.4922701,0.04535559
23,0.45620078,0.024750652,0.048703656,0.035702437,0.4074971,-0.010951785
24,0.51431024,0.14832492,0.1139964,0.08687497,0.40031385,0.061449952
25,0.6254077,0.11122607,0.1377204,0.101740286,0.4876873,0.009485781
26,0.50818807,0.07285864,0.103983164,0.07215111,0.4042049,0.0007075295
27,0.31461576,0.07741753,0.09066441,0.067605905,0.22395134,0.009811625
28,0.52745575,0.11028717,0.14554931,0.107713774,0.38190645,0.0025733933
29,0.40011862,0.04960493,0.062909104,0.044226,0.33720952,0.0053789318
30,0.4568495,0.15066738,0.16254799,0.120660804,0.2943015,0.03000658
31,0.4379024,0.09689475,0.084016345,0.06498523,0.35388604,0.031909518
32,0.45207345,0.07114745,0.09467075,0.07304261,0.3574027,-0.0018951595
33,0.3593441,0.04894358,0.08943868,0.06234921,0.26990542,-0.013405632
34,0.47010705,0.060293544,0.0902022,0.06588101,0.37990487,-0.0055874623
35,0.47507554,0.053499367,0.08539146,0.06377241,0.38968408,-0.010273043
36,0.4333755,0.045405887,0.07571599,0.051813472,0.35765952,-0.006407585
37,0.5139829,0.07830566,0.10718074,0.0743067,0.40680215,0.003998965
38,0.32592192,0.1109025,0.101158164,0.07435833,0.22476375,0.036544174
39,0.52049977,0.09237453,0.10539911,0.0779503,0.41510066,0.014424235
40,0.33829942,0.07660365,0.071495645,0.0413133,0.26680377,0.03529035
41,0.634806,0.21038885,0.2025221,0.15123579,0.43228388,0.059153065
42,0.50390166,0.031693134,0.05923513,0.042597637,0.44466653,-0.010904502
43,0.58051956,0.12240391,0.14230256,0.11424328,0.43821698,0.008160636
44,0.4211199,0.076216914,0.096381195,0.06798502,0.3247387,0.008231893
45,0.4943222,0.09416506,0.12873563,0.08083844,0.36558658,0.013326615
46,0.49414366,0.058082994,0.07717004,0.052550796,0.41697362,0.0055321977
47,0.68339103,0.09749729,0.14276432,0.09788451,0.5406267,-0.00038722157
48,0.49759582,0.0462395,0.09356297,0.0666051,0.40403286,-0.0203656
49,0.47194788,0.062278435,0.08376979,0.060711406,0.38817808,0.0015670285
50,0.5531406,0.08518173,0.11155386,0.07902179,0.44158673,0.006159939
51,0.54827636,0.09368648,0.13584284,0.09449209,0.4124335,-0.0008056164
52,0.3291619,0.042176306,0.06404375,0.044952683,0.26511815,-0.002776377
53,0.53849506,0.06822035,0.08598094,0.06009974,0.4525141,0.008120608
54,0.46377602,0.084794775,0.123214714,0.0863032,0.3405613,-0.0015084222
55,0.5173326,0.08904525,0.1036132,0.076159775,0.41371942,0.012885474
56,0.50584036,0.07433882,0.13408974,0.09040488,0.37175062,-0.01606606
57,0.44366542,0.0758541,0.09495704,0.065288,0.3487084,0.0105661005
58,0.41582942,0.043071423,0.07860348,0.05453243,0.33722594,-0.011461008
59,0.48654768,0.10818348,0.16266713,0.11693407,0.32388055,-0.008750588
60,0.2976649,0.024208345,0.058390867,0.037585307,0.23927404,-0.013376962
61,0.27376992,0.011171345,0.061079197,0.038683876,0.21269071,-0.027512532
62,0.47221726,0.10404791,0.10903558,0.07724472,0.36318168,0.026803188
63,0.5296921,0.08223469,0.13273953,0.09486508,0.39695257,-0.012630396
64,0.43124983,0.09484148,0.09988608,0.07189947,0.33136374,0.022942007
65,0.47206417,0.06074207,0.09034835,0.060480073,0.38171583,0.00026199594
66,0.48209354,0.11066104,0.11651208,0.083219185,0.36558145,0.027441852
67,0.4546896,0.08738985,0.09078784,0.06913011,0.36390173,0.018259741
68,0.40431237,0.0880133,0.11738899,0.08823428,0.28692338,-0.00022098422
69,0.3687116,0.079222105,0.11931858,0.085602716,0.24939302,-0.00638061
70,0.45686072,0.06287299,0.13069189,0.08488346,0.32616884,-0.022010468
71,0.50071055,0.106956184,0.10496479,0.075064376,0.39574575,0.031891808
72,0.41401112,0.06351114,0.09277732,0.05743606,0.3212338,0.0060750805
73,0.64842016,0.029619003,0.058638833,0.04101895,0.58978134,-0.011399949
74,0.33941895,0.069750816,0.07626581,0.05024035,0.26315314,0.019510467
75,0.5121969,0.098041914,0.09526062,0.07272601,0.41693628,0.025315903
76,0.50158185,0.12224587,0.13933748,0.10363837,0.36224437,0.018607497
77,0.47622,0.06298434,0.09552673,0.068671025,0.3806933,-0.0056866854
78,0.4796492,0.0974483,0.09748349,0.07366808,0.3821657,0.02378022
79,0.44667947,0.06316873,0.10130466,0.06664213,0.34537482,-0.003473401
80,0.41378498,0.06168351,0.06120552,0.04533063,0.35257947,0.01635288
81,0.29763594,0.058720738,0.085133076,0.06531335,0.21250287,-0.006592609
82,0.45745152,0.045368798,0.070730165,0.045864735,0.38672137,-0.0004959367
83,0.3981106,0.10443429,0.10160808,0.08001136,0.29650253,0.024422929
84,0.5251817,0.11867105,0.11558505,0.08065455,0.40959665,0.038016506
85,0.49130005,0.045570396,0.10687008,0.065500915,0.38442996,-0.01993052
