layer,cutoff_A,seq_gap,d,mean_a,mean_b,n_contact_edges,is_project_default
11,6.0,1,-2.2096469222099153,0.06115046888589859,0.2609669864177704,1615094,False
11,6.0,2,-1.7174411780839003,0.043179307132959366,0.14496134221553802,1033508,False
11,6.0,3,-0.9960142159877147,0.05175865441560745,0.10846106708049774,684336,False
11,6.0,4,-0.22287463275862818,0.02715332806110382,0.03563053160905838,422380,False
11,6.0,5,0.2267439542180761,0.020974431186914444,0.013185553252696991,360800,False
11,6.0,6,0.2600482588099942,0.017646828666329384,0.008924221619963646,338064,False
11,6.0,7,0.27839317813591286,0.016214698553085327,0.006956818047910929,324180,False
11,6.0,8,0.28316713594668863,0.01494393777102232,0.00573613541200757,314036,False
11,6.0,9,0.30967425854286196,0.014720353297889233,0.004843646194785833,305438,False
11,6.0,10,0.3207103596149968,0.014232690446078777,0.004171641543507576,297760,False
11,6.0,12,0.34252363878652403,0.013767892494797707,0.0031824535690248013,283318,False
11,6.0,14,0.3454719197868115,0.01275730412453413,0.0022804143372923136,270152,False
11,6.0,16,0.3430039865734965,0.011883796192705631,0.0017053972696885467,258236,False
11,6.0,20,0.342019367050095,0.010770736262202263,0.0009795328369364142,236698,False
11,6.0,24,0.3576754662037273,0.009886955842375755,9.743189730215818e-05,212834,False
11,6.0,30,0.38168357226695804,0.008127579465508461,-0.0013247262686491013,177808,False
14,6.0,1,-0.47916445985401096,0.2068829983472824,0.2847827970981598,1615094,False
14,6.0,2,-0.23784559269423247,0.14292427897453308,0.16876521706581116,1033508,False
14,6.0,3,-0.07656748493314887,0.12129645049571991,0.1278810352087021,684336,False
14,6.0,4,0.18982517995964232,0.04943358898162842,0.042001791298389435,422380,False
14,6.0,5,0.42439119627813915,0.0286277886480093,0.015346506610512733,360800,False
14,6.0,6,0.4033758410292842,0.021756261587142944,0.009700235910713673,338064,False
14,6.0,7,0.38844174794319375,0.018568869680166245,0.007170607335865498,324180,False
14,6.0,8,0.38041710418983987,0.016588911414146423,0.005650312639772892,314036,False
14,6.0,9,0.3858335481402015,0.01555887795984745,0.004605146590620279,305438,False
14,6.0,10,0.37796299694482755,0.014445570297539234,0.0038421270437538624,297760,False
14,6.0,12,0.3767130328964863,0.01297238003462553,0.0026281867176294327,283318,False
14,6.0,14,0.3565132655449955,0.011307966895401478,0.001579291420057416,270152,False
14,6.0,16,0.3418491722328952,0.009980353526771069,0.0008318798500113189,258236,False
14,6.0,20,0.31448563515141703,0.00805522408336401,-7.134301995392889e-05,236698,False
14,6.0,24,0.2725239236186028,0.005693591665476561,-0.0011038616066798568,212834,False
14,6.0,30,0.2101147817960841,0.002171742497012019,-0.002586281392723322,177808,False
18,6.0,1,-0.007980625846377907,0.2819778025150299,0.2832372486591339,1615094,False
18,6.0,2,-0.013751184171782626,0.17052550613880157,0.17183604836463928,1033508,False
18,6.0,3,0.028455511503509025,0.13556602597236633,0.13346324861049652,684336,False
18,6.0,4,0.19251995947721967,0.05327298492193222,0.04671425744891167,422380,False
18,6.0,5,0.3192483645740001,0.02819538116455078,0.0188998244702816,360800,False
18,6.0,6,0.2871373865618578,0.02125970460474491,0.013148156926035881,338064,False
18,6.0,7,0.27417893345203753,0.017961621284484863,0.010309137403964996,324180,False
18,6.0,8,0.2691548148091482,0.015941768884658813,0.008557023480534554,314036,False
18,6.0,9,0.2743193403130026,0.014828434213995934,0.007405987475067377,305438,False
18,6.0,10,0.2712782438244024,0.013748407363891602,0.006516448222100735,297760,False
18,6.0,12,0.27408083966314006,0.012065628543496132,0.00495482562109828,283318,False
18,6.0,14,0.2630768347410906,0.010349780321121216,0.003675180720165372,270152,False
18,6.0,16,0.26128919805887446,0.009194259531795979,0.002712436020374298,258236,False
18,6.0,20,0.2670475955541555,0.00750754913315177,0.0011496354127302766,236698,False
18,6.0,24,0.262194694927233,0.005448969081044197,-0.00048150765360333025,212834,False
18,6.0,30,0.27175889592844504,0.0022899280302226543,-0.0031632408499717712,177808,False
