feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.08068168,0.17110834,0.05486625,0.03555846,0.025815431,0.13554987
1,1.5716206,0.5386692,0.77268606,0.57150316,0.7989345,-0.032833934
2,0.399349,0.18963104,0.2104525,0.15327282,0.1888965,0.036358222
3,1.0170224,0.427418,0.64042723,0.42636704,0.37659514,0.0010509491
4,0.01974684,-0.058714893,0.01750844,0.0069791274,0.0022384003,-0.06569402
5,0.11132342,0.037977185,0.057104353,0.03738223,0.05421907,0.00059495494
6,0.01693891,0.1557903,0.016060116,0.012378611,0.0008787941,0.1434117
7,0.18561451,0.11477285,0.10728956,0.085139945,0.07832495,0.029632904
8,0.048456263,0.05064296,0.025440129,0.022673987,0.023016134,0.027968973
9,0.04509142,-0.029080028,0.023825057,0.011584596,0.021266364,-0.040664624
10,1.0722549,0.26680914,0.3441708,0.24289116,0.7280841,0.023917973
11,0.055593736,0.018738547,0.02133539,0.016012803,0.034258347,0.0027257446
12,0.017682988,0.037980687,0.00805651,0.0069473814,0.009626478,0.031033305
13,1.4921845,0.3323358,0.53001314,0.3489575,0.9621714,-0.016621709
14,1.4704661,0.110676035,0.22120003,0.15251385,1.2492661,-0.04183781
15,0.007168049,0.038227897,0.015621793,0.013561303,-0.008453744,0.024666594
16,0.8867285,0.32795462,0.44369686,0.32528317,0.44303167,0.0026714504
17,0.058369245,0.014821071,0.065116525,0.04664383,-0.0067472793,-0.03182276
18,0.88452023,0.6392638,0.6851783,0.54634243,0.19934195,0.092921376
19,1.2754467,0.47734505,0.591493,0.41199398,0.68395364,0.06535107
20,0.033491444,-0.03598247,0.027152712,0.012978506,0.0063387323,-0.048960976
21,0.023881966,0.03190304,0.01272781,0.009133822,0.011154156,0.022769216
22,0.0678147,0.034997102,0.046300802,0.026561048,0.021513898,0.008436054
23,0.09546863,0.054734606,0.05781766,0.04318219,0.037650973,0.011552416
24,1.0997486,0.5282441,0.63880676,0.48230052,0.46094185,0.04594356
25,1.1534497,0.5417623,0.74385047,0.53456485,0.40959918,0.0071974397
26,1.0174428,0.48863816,0.6064553,0.4429338,0.4109875,0.045704365
27,0.2689577,0.12862974,0.15464635,0.1100747,0.11431135,0.018555045
28,0.027086988,0.033652846,0.015907906,0.012101913,0.011179082,0.021550933
29,1.0192454,0.35032317,0.45989963,0.3225304,0.5593457,0.027792782
30,0.72260445,0.39331308,0.51639235,0.3553137,0.2062121,0.03799939
31,0.9178397,0.3893365,0.511964,0.36114287,0.40587568,0.028193623
32,0.13619642,0.014166319,0.031174805,0.025249725,0.10502161,-0.011083406
33,0.036495514,0.09428506,0.037821762,0.021264995,-0.001326248,0.07302007
34,0.2831517,0.06942403,0.20131893,0.11039451,0.08183275,-0.040970474
35,1.4326484,0.51469976,0.62832206,0.45904908,0.80432636,0.05565068
36,0.0709815,-0.020860286,0.06507282,0.033224374,0.005908683,-0.05408466
37,0.6245289,0.23706669,0.2863633,0.2128389,0.33816558,0.024227783
38,0.055516742,0.15637654,0.040948782,0.029056463,0.01456796,0.12732008
39,0.044886477,-0.03959155,0.0458326,0.021744289,-0.00094612315,-0.06133584
40,1.0281323,0.101267084,0.1902174,0.12948406,0.83791494,-0.028216973
41,0.7885942,0.3286802,0.4619435,0.34388125,0.32665068,-0.015201062
42,1.1721374,0.3661458,0.4719633,0.35295007,0.7001741,0.013195723
43,1.1173265,0.43354055,0.5427841,0.41598746,0.5745424,0.017553091
44,0.08870727,0.08370814,0.050759744,0.03999168,0.037947524,0.043716457
45,1.1636539,0.13702963,0.23932676,0.17955421,0.9243271,-0.042524576
46,1.3173703,0.6887231,0.8686144,0.6444535,0.44875592,0.04426956
47,0.6639818,0.21155028,0.3164008,0.22119966,0.347581,-0.009649381
48,0.047582127,0.04005049,0.036288574,0.026330147,0.011293553,0.013720345
49,0.6407384,0.31978682,0.314564,0.22938123,0.32617444,0.09040558
50,0.61108243,0.29769713,0.4104919,0.28663176,0.20059052,0.011065364
51,1.0400964,0.3839691,0.5101963,0.37596086,0.5299001,0.008008242
52,0.79562926,0.2207081,0.27682948,0.19655465,0.5187998,0.024153456
53,1.0407121,0.31383276,0.4732695,0.32617164,0.56744266,-0.012338877
54,1.2418765,0.33150762,0.50334144,0.37981942,0.73853505,-0.0483118
55,0.04773388,0.0994604,0.047941014,0.033733092,-0.00020713359,0.06572731
56,1.3520085,0.51891786,0.7032498,0.47377107,0.64875865,0.045146793
57,1.5393302,0.43490413,0.6423617,0.46510345,0.89696854,-0.03019932
58,1.4881124,0.43834966,0.6484582,0.4639542,0.83965427,-0.025604546
59,0.22864957,0.0743808,0.086499654,0.05432078,0.14214993,0.020060021
60,0.05917115,0.038510226,0.029530818,0.026323402,0.029640334,0.012186823
61,0.11338997,0.11750833,0.09945983,0.053004917,0.013930142,0.06450342
62,-0.005246313,0.008309322,0.016371874,0.009595433,-0.021618187,-0.0012861108
63,0.046569865,0.058571666,0.035038758,0.027200818,0.011531107,0.03137085
64,0.025528925,0.026394963,0.032787558,0.022381144,-0.007258633,0.0040138196
65,0.13620551,0.05765665,0.06227193,0.04179045,0.07393358,0.015866198
66,0.09614049,0.08591318,0.044506885,0.038324565,0.051633604,0.047588617
67,0.017757533,0.048216693,0.03752061,0.034247436,-0.019763077,0.0139692575
68,0.10368336,0.044999655,0.04905856,0.033737835,0.0546248,0.011261821
69,0.13787097,0.078497715,0.07691079,0.052384194,0.06096018,0.026113521
70,0.949139,0.21314989,0.30956012,0.2106993,0.6395789,0.0024505854
71,0.13773833,0.096045874,0.1174722,0.06707256,0.02026613,0.028973311
72,0.21073179,0.076004945,0.14414464,0.08819552,0.06658715,-0.012190573
73,1.0586605,0.33523765,0.4335894,0.29769778,0.6250711,0.03753987
74,0.070790075,0.047150858,0.038692605,0.024364946,0.03209747,0.022785911
75,1.1922185,0.2804778,0.42602548,0.2851243,0.76619303,-0.00464651
76,0.021774936,-0.02051661,0.021736495,0.012763882,3.844127e-05,-0.03328049
77,0.034963436,0.036430217,0.008950638,0.0071685873,0.026012799,0.02926163
78,1.2464007,0.306939,0.52471113,0.3613106,0.7216896,-0.054371595
79,0.8925161,0.29806557,0.4255547,0.28459582,0.46696138,0.013469756
80,0.142211,0.07054348,0.06546242,0.033598248,0.07674859,0.036945235
81,0.07785231,0.0075548603,0.03858709,0.028773693,0.03926522,-0.021218833
82,0.060596574,0.02956059,0.031044211,0.017711353,0.029552363,0.011849238
83,1.3902738,0.514671,0.61156416,0.42919827,0.77870965,0.08547276
84,0.922376,0.1835917,0.28604013,0.18693714,0.63633585,-0.0033454448
85,0.012078694,-0.020612434,0.022296838,0.014944569,-0.010218144,-0.035557
86,0.100151524,-0.0100425705,0.08061617,0.04514352,0.019535355,-0.05518609
87,1.1021487,0.3934912,0.44290623,0.29275528,0.6592424,0.10073593
88,0.15852398,0.0794056,0.10207157,0.07213045,0.05645241,0.007275149
89,0.02056439,0.028619438,0.012656438,0.012959968,0.007907952,0.01565947
90,0.037417512,0.051785734,0.023216229,0.021416545,0.014201283,0.030369189
91,0.38476482,0.13997366,0.1766365,0.13056569,0.20812832,0.009407967
92,0.2846063,0.09162218,0.17284514,0.11139048,0.11176117,-0.019768298
93,0.000793377,0.022356372,0.018737806,0.0139221465,-0.01794443,0.008434226
94,0.13075933,0.08199854,0.08738072,0.07506282,0.043378606,0.006935723
95,1.0148982,0.26882344,0.33803287,0.26391408,0.67686534,0.0049093664
96,0.052917812,0.06571277,0.026364094,0.025358262,0.026553718,0.040354513
97,0.9762227,0.1602237,0.23710442,0.16871123,0.7391183,-0.0084875375
98,0.11078984,0.055323005,0.05885989,0.040593475,0.051929954,0.01472953
99,0.041049022,-0.038213115,0.03073665,0.013980469,0.010312373,-0.052193582
100,0.11782639,0.14740476,0.098926164,0.072501086,0.018900223,0.074903674
101,0.8396986,0.3789639,0.4576919,0.3579802,0.3820067,0.020983696
102,0.23397765,0.025490101,0.09356131,0.049038257,0.14041634,-0.023548156
103,0.94687474,0.31006506,0.50016475,0.32126087,0.44671,-0.011195809
104,-0.0059319627,0.069171436,0.011998373,0.008184276,-0.017930336,0.06098716
105,1.3120154,0.45614737,0.6169878,0.46747577,0.6950276,-0.011328399
106,0.93762547,0.27813458,0.3281544,0.22793606,0.6094711,0.050198525
107,1.1499466,0.46270537,0.5728835,0.41428903,0.5770631,0.048416346
108,-0.02289604,0.18586859,0.022657631,0.015824247,-0.04555367,0.17004435
109,1.1702445,0.2050083,0.36372957,0.24204817,0.80651486,-0.037039876
110,1.2285955,0.4866031,0.7505243,0.4846095,0.4780712,0.0019935966
111,0.020727737,0.007458667,0.01633662,0.012243981,0.004391117,-0.0047853137
112,1.0886,0.465686,0.60368246,0.4030896,0.48491758,0.06259638
113,0.99268633,0.3674327,0.53558326,0.3814936,0.45710307,-0.014060885
114,0.03732941,-0.016679527,0.02964684,0.015174043,0.0076825693,-0.03185357
115,0.37579325,0.14033459,0.17541343,0.12663665,0.20037982,0.013697937
116,0.0055416897,0.056992065,0.016802136,0.012129805,-0.011260446,0.04486226
117,0.060876496,-0.025121236,0.024214406,0.0138526885,0.03666209,-0.038973924
118,0.9792798,0.24004814,0.36428574,0.26749635,0.61499405,-0.027448207
119,0.083091,0.046299126,0.079003505,0.05730416,0.004087493,-0.011005033
120,1.0260632,0.3413398,0.409118,0.27512118,0.6169452,0.066218615
121,0.116239876,0.05197652,0.07005677,0.047395837,0.0461831,0.004580684
122,1.1588806,0.28720918,0.4590193,0.3034338,0.6998613,-0.016224623
123,0.77691877,0.3193357,0.39825067,0.29167944,0.3786681,0.027656257
124,0.22135472,0.13693567,0.19583833,0.14283481,0.02551639,-0.005899146
125,0.23369353,0.16957068,0.17172453,0.12495121,0.061968997,0.04461947
126,0.0455638,0.08519795,0.05732782,0.04221753,-0.011764023,0.042980418
127,0.9784302,0.4798204,0.76774895,0.4844717,0.21068126,-0.004651308
128,0.92035824,0.28669688,0.43438452,0.31103083,0.48597372,-0.024333954
129,0.2068525,0.07674537,0.10467666,0.078822166,0.10217584,-0.0020767972
130,1.0441034,0.47493353,0.61645746,0.4521031,0.42764592,0.022830427
131,1.5179484,0.6296853,0.9464899,0.65270454,0.5714585,-0.023019254
132,0.9873843,0.20204163,0.32860646,0.2184144,0.65877783,-0.01637277
133,0.9194107,0.52302366,0.7466264,0.46234727,0.17278433,0.060676396
134,1.138554,0.53175,0.7709065,0.530554,0.36764747,0.0011960268
135,0.90096444,0.31392547,0.44758087,0.3228346,0.45338356,-0.008909136
136,0.078655474,0.04982733,0.046890292,0.037258957,0.03176518,0.012568373
137,0.8775198,0.19187371,0.3092964,0.2013988,0.56822336,-0.00952509
138,0.2626041,0.16093673,0.19618292,0.11586793,0.066421166,0.0450688
139,0.06577669,0.015771683,0.023553472,0.018056305,0.04222322,-0.0022846218
140,1.5563889,0.4907252,0.6528325,0.4794076,0.90355635,0.011317581
141,0.38334912,0.17575878,0.23407114,0.15204611,0.14927799,0.023712665
142,1.2415634,0.27224535,0.36713725,0.26437742,0.8744262,0.007867932
143,0.04810286,0.048333153,0.028471606,0.022437166,0.019631254,0.025895987
144,0.11713377,0.14431594,0.09296629,0.063204065,0.024167478,0.08111188
145,0.015786715,0.09857154,0.04800204,0.030657707,-0.032215323,0.06791383
146,0.060624912,0.057910666,0.039221764,0.031001413,0.021403149,0.026909253
