feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.79707843,0.109022565,0.15791723,0.114967786,0.6391612,-0.0059452206
1,0.63566554,0.034244005,0.07468889,0.05132261,0.5609766,-0.017078605
2,0.5567331,0.049278133,0.0673623,0.05086022,0.48937076,-0.0015820861
3,0.5274604,0.11401779,0.11245581,0.08548197,0.41500458,0.02853582
4,0.42895222,0.044631388,0.12294806,0.08954837,0.30600417,-0.044916984
5,0.4137523,0.104071066,0.10790803,0.076390706,0.30584425,0.02768036
6,0.564169,0.058473993,0.049039282,0.03671934,0.5151297,0.021754652
7,0.46265292,0.04925548,0.083665885,0.058818836,0.37898704,-0.009563357
8,0.6873656,0.04883195,0.09720498,0.0720742,0.5901606,-0.023242246
9,0.14122185,0.023227515,0.032327726,0.020179339,0.108894125,0.003048176
10,0.4802128,0.054128602,0.04641747,0.030225337,0.43379533,0.023903266
11,0.37681115,0.08425174,0.052607395,0.032528754,0.32420376,0.051722985
12,0.62007046,0.054188833,0.08240274,0.061839532,0.5376677,-0.0076506995
13,0.6767629,0.09729829,0.13596126,0.09763572,0.54080164,-0.0003374368
14,0.4621044,0.067906104,0.076597884,0.056206495,0.3855065,0.011699609
15,0.77753174,0.13538656,0.14467,0.095843226,0.63286173,0.03954333
16,0.4694224,0.08433896,0.11171524,0.08581656,0.35770714,-0.0014775991
17,0.24784221,0.01998826,0.056574598,0.040660147,0.19126761,-0.020671887
18,0.6307305,0.051770832,0.0932432,0.061741184,0.5374873,-0.009970352
19,0.7222346,0.12042824,0.12927131,0.10528023,0.5929633,0.015148014
20,0.37179905,-0.012264861,0.059563886,0.04053216,0.31223518,-0.05279702
21,0.39100185,0.087183416,0.0907965,0.069065236,0.30020535,0.01811818
22,0.48658893,0.020430326,0.05781201,0.039186962,0.42877692,-0.018756635
23,0.30268747,0.042489123,0.04722459,0.02840233,0.25546288,0.014086792
24,0.4180114,0.04974329,0.085674874,0.06040056,0.33233652,-0.0106572695
25,0.5556799,0.099124946,0.12280816,0.087590836,0.43287176,0.01153411
26,0.27961436,0.041357886,0.11383722,0.07553296,0.16577715,-0.034175072
27,0.6212976,0.08333684,0.1463291,0.09253493,0.4749685,-0.009198092
28,0.60476357,0.055681255,0.06622675,0.040843673,0.5385368,0.014837582
29,0.7079205,0.08951397,0.109120294,0.06970396,0.5988002,0.019810013
30,0.34149417,0.04591941,0.07964181,0.048202313,0.26185235,-0.0022829026
31,0.08598465,0.02122485,0.037152708,0.024693878,0.04883194,-0.0034690276
32,0.44836193,0.07663245,0.121056534,0.08965333,0.3273054,-0.0130208805
33,0.5242559,0.0045772293,0.044241235,0.024697432,0.48001462,-0.020120203
34,0.21143462,0.027302252,0.029703211,0.020083208,0.1817314,0.0072190445
35,0.64116967,0.10746155,0.14103395,0.09412891,0.5001357,0.013332643
36,0.65319633,0.19665903,0.19726168,0.15190907,0.45593464,0.04474996
37,0.20285961,-0.018914193,0.052554775,0.03172019,0.15030484,-0.050634384
38,0.6419403,0.03603239,0.06966298,0.050113723,0.5722773,-0.014081333
39,0.4189657,0.06308464,0.09091661,0.06550134,0.3280491,-0.0024167001
40,0.40428776,0.005442924,0.023659086,0.017307391,0.38062868,-0.0118644675
41,0.47202235,0.04900943,0.070132606,0.04711371,0.40188974,0.001895722
42,0.45956025,0.083346084,0.11202803,0.085910216,0.3475322,-0.0025641322
43,0.38637275,0.014598949,0.058173724,0.035021234,0.32819903,-0.020422285
44,0.23760907,0.03528799,0.04488097,0.02911935,0.1927281,0.006168641
45,0.56350297,0.033039477,0.08698474,0.06426592,0.4765182,-0.031226445
46,0.8099574,0.12329287,0.12333278,0.096858434,0.6866246,0.026434436
47,0.49197087,0.07177079,0.07561961,0.054642774,0.41635126,0.017128013
48,0.6684319,0.14157355,0.17690712,0.12541106,0.49152476,0.016162485
49,0.71427447,0.08929972,0.1086432,0.079597,0.6056313,0.009702727
50,0.5728683,0.00558987,0.03507721,0.025553424,0.5377911,-0.019963555
51,0.35039186,0.039385647,0.06192178,0.038175,0.2884701,0.0012106448
52,0.64861673,0.12289179,0.12836602,0.09960202,0.5202507,0.02328977
53,0.73398376,0.06632146,0.0964054,0.06956002,0.63757837,-0.0032385588
