feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.42159542,0.09670297,0.2557305,0.17321548,0.16586491,-0.07651251
1,0.94712824,0.20485601,0.27865595,0.1779046,0.6684723,0.026951402
2,0.12719685,0.07966073,0.112401456,0.0713247,0.014795393,0.00833603
3,0.56733584,0.068640254,0.12848699,0.09948393,0.43884885,-0.030843675
4,0.07136059,0.04310349,0.028332336,0.018128995,0.04302825,0.024974495
5,0.11748216,0.0021194094,0.05934574,0.04575294,0.058136422,-0.043633528
6,0.2765927,0.08659362,0.058793906,0.040082306,0.2177988,0.046511315
7,0.11825573,0.1156213,0.052365843,0.03751939,0.06588988,0.0781019
8,0.92091143,0.22122219,0.31392524,0.24269293,0.60698617,-0.02147074
9,0.3290687,0.08454626,0.113170214,0.079983614,0.21589848,0.004562646
10,0.34105623,0.11845976,0.14359474,0.09125011,0.19746149,0.027209654
11,-0.0126342885,0.12452648,0.015775025,0.0074348454,-0.028409313,0.11709163
12,0.78831136,0.16834605,0.23870616,0.17387806,0.5496052,-0.0055320114
13,1.0853261,0.224265,0.31181934,0.224344,0.77350676,-7.900596e-05
14,0.36035368,0.10376358,0.09951401,0.07569161,0.26083967,0.02807197
15,0.43883052,0.17713286,0.23930402,0.16447195,0.1995265,0.012660906
16,0.8439064,0.22928195,0.25544545,0.1921942,0.5884609,0.037087753
17,0.18371882,0.042019986,0.05716454,0.039211642,0.12655428,0.0028083436
18,0.746469,0.2919149,0.41005602,0.27324435,0.336413,0.018670559
19,0.8221363,0.33763087,0.39503375,0.2910872,0.42710254,0.046543658
20,0.12446966,0.026631115,0.03345611,0.019502496,0.09101355,0.0071286187
21,0.57638276,0.27504048,0.22835167,0.17351975,0.3480311,0.10152073
22,1.1430743,0.29637793,0.40325275,0.28705654,0.73982155,0.009321392
23,0.3064638,0.08377637,0.15243912,0.094896466,0.15402469,-0.011120096
24,1.0223585,0.24556,0.381005,0.23878439,0.64135355,0.0067756176
25,0.9817062,0.28369242,0.32096836,0.2200419,0.6607379,0.06365052
26,1.0259675,0.16500595,0.2779811,0.19116805,0.7479864,-0.026162103
27,0.9362051,0.25664875,0.32375395,0.21512882,0.61245114,0.041519925
28,0.24916756,0.09013504,0.14776205,0.07210645,0.101405516,0.018028587
29,0.9769927,0.47104436,0.5442329,0.3502381,0.43275982,0.12080625
30,0.7699926,0.21213865,0.28176734,0.19570845,0.48822525,0.0164302
31,0.098944165,-0.0068144808,0.05232601,0.033356287,0.046618156,-0.040170766
32,0.10333795,0.08298227,0.08432634,0.056012835,0.01901161,0.026969437
33,0.14390804,0.030562183,0.039427456,0.030967636,0.10448058,-0.00040545315
34,0.5030213,0.13673855,0.19619192,0.13609819,0.3068294,0.0006403625
35,0.34638333,0.057215042,0.07786415,0.05891752,0.2685192,-0.0017024763
36,1.2796046,0.47306752,0.66904587,0.48780873,0.6105587,-0.014741212
37,0.052589685,0.0027098933,0.055248484,0.036558148,-0.0026587993,-0.033848256
38,0.9891476,0.17894463,0.26807746,0.19949943,0.7210702,-0.020554796
39,0.06950418,0.057111785,0.052059636,0.03518695,0.017444544,0.021924835
40,0.8560456,0.1828198,0.23728822,0.17298144,0.61875737,0.009838358
41,0.5130907,0.1477988,0.21180405,0.1479041,0.3012867,-0.000105291605
42,0.13591154,0.13158515,0.08006314,0.05340953,0.055848397,0.07817562
43,0.734523,0.27425545,0.3256107,0.21260583,0.4089123,0.06164962
44,0.46210885,0.17690563,0.15514605,0.10863433,0.3069628,0.0682713
45,0.07505242,0.029175859,0.037448265,0.02462754,0.037604153,0.0045483187
46,0.61240774,0.19051902,0.21683536,0.1668686,0.39557236,0.023650423
47,0.34804353,0.11317096,0.16560818,0.11130977,0.18243535,0.0018611923
48,0.93124336,0.27683726,0.3270606,0.21359111,0.6041827,0.063246146
49,0.4687167,0.16682176,0.20072412,0.13401014,0.2679926,0.032811627
50,0.038875267,0.18774918,0.042894263,0.025116974,-0.004018996,0.1626322
51,0.6760077,0.18609679,0.31551415,0.22047766,0.36049354,-0.034380868
52,0.034420818,0.04268706,0.03570066,0.029108483,-0.0012798421,0.013578575
53,0.928579,0.18429779,0.2690362,0.18822008,0.6595428,-0.0039222986
54,1.0134048,0.1577597,0.31046027,0.18848133,0.7029446,-0.030721635
55,0.118975125,0.07744405,0.047071915,0.034182057,0.071903214,0.04326199
56,0.9578432,0.47948298,0.51521146,0.40668267,0.44263172,0.07280031
57,0.33148465,0.00785042,0.08555172,0.05279428,0.24593294,-0.04494386
58,0.076553956,0.026226234,0.037267722,0.025552977,0.039286233,0.0006732568
59,1.0307559,0.30353114,0.29004654,0.22694772,0.7407093,0.076583415
60,1.1437718,0.3467472,0.37641785,0.29594576,0.7673539,0.050801426
61,0.108796224,-0.010758745,0.026521012,0.01781795,0.08227521,-0.028576694
62,1.4069403,0.39959416,0.5480324,0.40659383,0.85890794,-0.0069996715
63,0.10134344,0.12863365,0.06088191,0.039029516,0.04046153,0.08960413
64,1.0995591,0.48657778,0.5964487,0.40117505,0.50311035,0.08540273
65,0.3091353,0.099121414,0.13807964,0.09558368,0.17105564,0.0035377368
66,0.048517156,0.008970233,0.013395244,0.010658746,0.03512191,-0.001688513
67,1.292828,0.4250082,0.50110894,0.38184124,0.791719,0.043166965
68,0.1490299,0.050339233,0.05306724,0.036558647,0.09596266,0.013780586
69,-0.019435925,0.10584427,0.021758243,0.01428705,-0.04119417,0.09155722
70,1.5428879,0.41415274,0.512252,0.37896225,1.030636,0.035190493
71,0.24690408,0.12872367,0.11795885,0.0905199,0.12894523,0.03820377
72,0.687354,0.19352217,0.2521509,0.18544821,0.43520314,0.008073956
73,0.7111122,0.20468594,0.2935406,0.18832041,0.4175716,0.016365528
74,0.22299194,0.04985487,0.05618399,0.045342986,0.16680795,0.0045118853
75,0.73831904,0.18044317,0.26216897,0.19242857,0.47615007,-0.011985406
76,0.9838649,0.32953393,0.4205973,0.30140874,0.5632676,0.028125197
77,0.012321285,0.047945123,0.018079095,0.010976024,-0.0057578096,0.0369691
78,1.0668439,0.21127942,0.31865484,0.22424741,0.74818903,-0.012967989
79,0.9281524,0.19312663,0.27070725,0.1771087,0.65744513,0.016017929
80,1.1944304,0.31998685,0.50246006,0.3231763,0.6919703,-0.0031894445
81,0.0095529165,0.13333704,0.02628339,0.012227766,-0.016730474,0.12110927
82,0.8223816,0.15064675,0.20079826,0.13766193,0.62158334,0.012984812
83,0.7878426,0.29388958,0.3102407,0.22856806,0.4776019,0.06532152
84,0.9140333,0.30344877,0.38922748,0.25161612,0.5248058,0.051832646
85,1.0613286,0.21668077,0.3533218,0.24267305,0.70800686,-0.02599229
86,0.16399397,0.08444002,0.09550804,0.0635287,0.06848593,0.020911321
87,0.41066924,0.120886125,0.14885382,0.10046136,0.26181543,0.020424768
88,0.8665037,0.2011908,0.26041996,0.19783981,0.60608375,0.003350988
89,0.030179573,0.02469363,0.039864212,0.026471019,-0.009684639,-0.0017773882
90,0.9358045,0.3201668,0.32877114,0.26531836,0.6070334,0.054848433
91,0.9892563,0.2559199,0.3222027,0.22859131,0.6670536,0.027328596
92,0.1346047,0.050346382,0.039033346,0.028208658,0.09557136,0.022137724
