feature_idx,seq_effect_obs,struct_effect_obs,seq_effect_shuffle,struct_effect_shuffle,seq_delta,struct_delta
0,0.6168822,0.17550077,0.2274783,0.14011481,0.3894039,0.03538595
1,0.54460424,0.113927945,0.15420778,0.11627407,0.39039648,-0.0023461282
2,0.466996,0.2652632,0.2737381,0.21724749,0.19325793,0.048015714
3,0.66544574,0.1676359,0.19506326,0.14043757,0.47038248,0.02719833
4,0.48312423,0.12058289,0.14045922,0.10150361,0.34266502,0.019079283
5,0.2865043,0.10025447,0.1125444,0.072725296,0.1739599,0.027529173
6,0.03525334,0.083672054,0.032855432,0.022252675,0.002397906,0.06141938
7,0.25966236,0.07369815,0.082912475,0.06810413,0.17674989,0.005594015
8,0.2868148,0.11018073,0.09760256,0.06878229,0.18921225,0.041398436
9,0.3756476,0.11837972,0.1526586,0.0968598,0.22298901,0.021519922
10,0.492123,0.15232806,0.23700833,0.1599044,0.25511467,-0.0075763464
11,0.50857145,0.06938624,0.10180916,0.06511304,0.4067623,0.0042731985
12,0.42852417,0.14474353,0.19646671,0.13042441,0.23205745,0.014319122
13,0.50916946,0.15765794,0.14506905,0.10443667,0.3641004,0.053221263
14,0.7613475,0.1784645,0.2653799,0.19260393,0.49596757,-0.014139429
15,0.20089729,0.088836126,0.12134614,0.08842563,0.07955115,0.0004104972
16,0.5810397,0.17693584,0.24047616,0.16416194,0.34056357,0.012773901
17,0.48198435,0.1898471,0.24465223,0.17634754,0.23733212,0.013499558
18,0.7731563,0.2866604,0.39174658,0.2988354,0.3814097,-0.012174994
19,0.28883278,0.12431873,0.18804953,0.13111284,0.10078326,-0.0067941174
20,0.45187148,0.097855255,0.15701705,0.100399315,0.29485443,-0.0025440603
21,0.28343785,0.05626553,0.08490083,0.058326043,0.19853702,-0.002060514
22,0.4317212,0.20149978,0.23693566,0.14316982,0.19478555,0.058329955
23,0.4824567,0.17839283,0.1982398,0.14590605,0.2842169,0.03248678
24,0.06257825,0.058832593,0.06087173,0.048869323,0.001706522,0.00996327
25,0.70001817,0.2348318,0.36668116,0.25152346,0.333337,-0.01669167
26,0.7562339,0.20880015,0.32514954,0.22433582,0.43108433,-0.015535668
27,0.56548464,0.12155063,0.17148545,0.12741438,0.3939992,-0.0058637485
28,0.2714649,0.085623026,0.14543034,0.10600114,0.12603457,-0.020378113
29,0.55131274,0.21237478,0.25972003,0.18292971,0.29159272,0.029445067
30,0.692826,0.30793157,0.4045984,0.29698858,0.28822756,0.010942996
31,0.3785554,0.10744198,0.13285257,0.10072961,0.24570282,0.0067123696
32,0.29260015,0.1112541,0.16140363,0.10774702,0.13119653,0.0035070851
33,0.13733263,0.07240086,0.07379843,0.05850004,0.0635342,0.01390082
34,0.40078223,0.10429347,0.14658122,0.10727055,0.254201,-0.0029770806
35,0.46256045,0.15206473,0.16414204,0.12179689,0.2984184,0.030267835
36,0.497369,0.13029705,0.1901857,0.13388419,0.3071833,-0.0035871416
37,0.46377152,0.10849099,0.12938371,0.084187664,0.3343878,0.024303325
38,0.45032808,0.21103461,0.1992925,0.14571063,0.25103557,0.06532398
39,0.30210403,0.08796772,0.13906416,0.09394957,0.16303986,-0.0059818476
40,0.78027016,0.2054146,0.2927683,0.19556491,0.48750186,0.009849682
41,0.4077209,0.09021356,0.1414533,0.10458599,0.2662676,-0.014372431
42,0.3747776,0.078804575,0.13111672,0.09422147,0.24366087,-0.015416898
43,0.4415896,0.11775549,0.17377532,0.12816833,0.26781428,-0.010412842
44,0.53412056,0.1755794,0.20529774,0.1552591,0.32882282,0.020320296
45,0.40280667,0.14502393,0.17557594,0.13350993,0.22723073,0.011513993
46,0.5229465,0.20535941,0.23267126,0.16803268,0.29027522,0.03732674
47,0.62341195,0.19955981,0.27169478,0.18055306,0.35171717,0.019006744
48,0.4218263,0.13897277,0.1768082,0.1283669,0.24501811,0.010605872
49,0.37337303,0.1983932,0.22405632,0.16001886,0.14931671,0.038374335
50,0.24107508,0.090192065,0.13199405,0.09259538,0.10908103,-0.0024033189
51,0.4019137,0.08967779,0.13249418,0.07703036,0.26941952,0.012647428
52,0.63642126,0.17539194,0.21057825,0.15176205,0.425843,0.023629889
53,0.5275232,0.1212509,0.14776957,0.10465505,0.37975365,0.016595848
54,0.26204234,0.06343361,0.0939188,0.069548465,0.16812354,-0.0061148554
55,0.56186557,0.14073747,0.18042496,0.12652221,0.3814406,0.014215261
56,0.5487773,0.14197084,0.20600978,0.14599362,0.3427675,-0.004022777
57,0.45930383,0.15432338,0.23022334,0.14174655,0.22908048,0.012576833
58,0.09548102,0.15186076,0.052177005,0.03049004,0.04330402,0.12137072
59,0.5535926,0.17095834,0.20996852,0.13968445,0.34362411,0.031273887
60,0.48738727,0.1452231,0.20416048,0.15330708,0.2832268,-0.008083984
61,0.4159557,0.15791073,0.15972307,0.11643422,0.25623262,0.041476518
62,0.35109377,0.10592499,0.09708831,0.08015584,0.25400546,0.025769144
63,0.54068553,0.23713733,0.29531497,0.22333856,0.24537057,0.013798773
64,0.24286962,0.028863847,0.10668548,0.06766733,0.13618413,-0.03880348
65,0.36682835,0.13650163,0.1600906,0.09753172,0.20673776,0.038969904
66,0.2562759,0.0684581,0.068681285,0.049163204,0.18759461,0.019294899
67,0.08815087,0.09270892,0.1064378,0.072255105,-0.018286936,0.020453818
68,0.559562,0.107204966,0.17030092,0.12325468,0.38926113,-0.016049713
69,0.5995037,0.11519148,0.16848703,0.11636355,0.43101668,-0.0011720657
70,0.6190235,0.20700021,0.2960887,0.22350296,0.3229348,-0.016502753
71,0.5256664,0.13971983,0.11154865,0.07714267,0.41411775,0.06257716
72,0.48278233,0.11160123,0.23458067,0.1539048,0.24820167,-0.042303562
73,0.60533303,0.18873733,0.26177296,0.1778532,0.34356007,0.010884136
74,0.10540091,0.18118747,0.043163083,0.031166518,0.06223783,0.15002094
75,0.5484765,0.11043292,0.1700975,0.10559535,0.37837902,0.0048375726
76,0.37116906,0.120536886,0.16243461,0.113767505,0.20873445,0.0067693815
77,0.4858599,0.14141792,0.16212651,0.1033463,0.3237334,0.038071617
78,0.5571062,0.10192858,0.15718892,0.10293533,0.39991727,-0.0010067523
